time_id,hour,minute,time_am_or_pm
859,3,18,PM
860,3,19,PM
861,3,20,PM
862,3,21,PM
863,3,22,PM
864,3,23,PM
865,3,24,PM
866,3,25,PM
867,3,26,PM
868,3,27,PM
869,3,28,PM
870,3,29,PM
871,3,30,PM
872,3,31,PM
873,3,32,PM
874,3,33,PM
875,3,34,PM
876,3,35,PM
877,3,36,PM
878,3,37,PM
879,3,38,PM
880,3,39,PM
881,3,40,PM
882,3,41,PM
883,3,42,PM
884,3,43,PM
885,3,44,PM
886,3,45,PM
887,3,46,PM
888,3,47,PM
889,3,48,PM
890,3,49,PM
891,3,50,PM
892,3,51,PM
893,3,52,PM
894,3,53,PM
895,3,54,PM
896,3,55,PM
897,3,56,PM
898,3,57,PM
899,3,58,PM
900,3,59,PM
901,4,0,PM
902,4,1,PM
903,4,2,PM
904,4,3,PM
905,4,4,PM
906,4,5,PM
907,4,6,PM
908,4,7,PM
909,4,8,PM
910,4,9,PM
911,4,10,PM
912,4,11,PM
913,4,12,PM
914,4,13,PM
915,4,14,PM
916,4,15,PM
917,4,16,PM
918,4,17,PM
919,4,18,PM
920,4,19,PM
921,4,20,PM
922,4,21,PM
923,4,22,PM
924,4,23,PM
925,4,24,PM
926,4,25,PM
927,4,26,PM
928,4,27,PM
929,4,28,PM
930,4,29,PM
931,4,30,PM
932,4,31,PM
933,4,32,PM
934,4,33,PM
935,4,34,PM
936,4,35,PM
937,4,36,PM
938,4,37,PM
939,4,38,PM
940,4,39,PM
941,4,40,PM
942,4,41,PM
943,4,42,PM
944,4,43,PM
945,4,44,PM
946,4,45,PM
947,4,46,PM
948,4,47,PM
949,4,48,PM
950,4,49,PM
951,4,50,PM
952,4,51,PM
953,4,52,PM
954,4,53,PM
955,4,54,PM
956,4,55,PM
957,4,56,PM
958,4,57,PM
959,4,58,PM
960,4,59,PM
961,5,0,PM
962,5,1,PM
963,5,2,PM
964,5,3,PM
965,5,4,PM
966,5,5,PM
967,5,6,PM
968,5,7,PM
969,5,8,PM
970,5,9,PM
971,5,10,PM
972,5,11,PM
973,5,12,PM
974,5,13,PM
975,5,14,PM
976,5,15,PM
977,5,16,PM
978,5,17,PM
979,5,18,PM
980,5,19,PM
981,5,20,PM
982,5,21,PM
983,5,22,PM
984,5,23,PM
985,5,24,PM
986,5,25,PM
987,5,26,PM
988,5,27,PM
989,5,28,PM
990,5,29,PM
991,5,30,PM
992,5,31,PM
993,5,32,PM
994,5,33,PM
995,5,34,PM
996,5,35,PM
997,5,36,PM
998,5,37,PM
999,5,38,PM
1000,5,39,PM
1001,5,40,PM
1002,5,41,PM
1003,5,42,PM
1004,5,43,PM
1005,5,44,PM
1006,5,45,PM
1007,5,46,PM
1008,5,47,PM
1009,5,48,PM
1010,5,49,PM
1011,5,50,PM
1012,5,51,PM
1013,5,52,PM
1014,5,53,PM
1015,5,54,PM
1016,5,55,PM
1017,5,56,PM
1018,5,57,PM
1019,5,58,PM
1020,5,59,PM
1021,6,0,PM
1022,6,1,PM
1023,6,2,PM
1024,6,3,PM
1025,6,4,PM
1026,6,5,PM
1027,6,6,PM
1028,6,7,PM
1029,6,8,PM
1030,6,9,PM
1031,6,10,PM
1032,6,11,PM
1033,6,12,PM
1034,6,13,PM
1035,6,14,PM
1036,6,15,PM
1037,6,16,PM
1038,6,17,PM
1039,6,18,PM
1040,6,19,PM
1041,6,20,PM
1042,6,21,PM
1043,6,22,PM
1044,6,23,PM
1045,6,24,PM
1046,6,25,PM
1047,6,26,PM
1048,6,27,PM
1049,6,28,PM
1050,6,29,PM
1051,6,30,PM
1052,6,31,PM
1053,6,32,PM
1054,6,33,PM
1055,6,34,PM
1056,6,35,PM
1057,6,36,PM
1058,6,37,PM
1059,6,38,PM
1060,6,39,PM
1061,6,40,PM
1062,6,41,PM
1063,6,42,PM
1064,6,43,PM
1065,6,44,PM
1066,6,45,PM
1067,6,46,PM
1068,6,47,PM
1069,6,48,PM
1070,6,49,PM
1071,6,50,PM
1072,6,51,PM
1073,6,52,PM
1074,6,53,PM
1075,6,54,PM
1076,6,55,PM
1077,6,56,PM
1078,6,57,PM
