time_id,hour,minute,time_am_or_pm
011019,11,19,AM
011020,11,20,AM
011021,11,21,AM
011022,11,22,AM
011023,11,23,AM
011024,11,24,AM
011025,11,25,AM
011026,11,26,AM
011027,11,27,AM
011028,11,28,AM
011029,11,29,AM
011030,11,30,AM
011031,11,31,AM
011032,11,32,AM
011033,11,33,AM
011034,11,34,AM
011035,11,35,AM
011036,11,36,AM
011037,11,37,AM
011038,11,38,AM
011039,11,39,AM
011040,11,40,AM
011041,11,41,AM
011042,11,42,AM
011043,11,43,AM
011044,11,44,AM
011045,11,45,AM
011046,11,46,AM
011047,11,47,AM
011048,11,48,AM
011049,11,49,AM
011050,11,50,AM
011051,11,51,AM
011052,11,52,AM
011053,11,53,AM
011054,11,54,AM
011055,11,55,AM
011056,11,56,AM
011057,11,57,AM
011058,11,58,AM
011059,11,59,AM
01200,12,0,PM
01201,12,1,PM
01202,12,2,PM
01203,12,3,PM
01204,12,4,PM
01205,12,5,PM
01206,12,6,PM
01207,12,7,PM
01208,12,8,PM
01209,12,9,PM
012010,12,10,PM
012011,12,11,PM
012012,12,12,PM
012013,12,13,PM
012014,12,14,PM
012015,12,15,PM
012016,12,16,PM
012017,12,17,PM
012018,12,18,PM
012019,12,19,PM
012020,12,20,PM
012021,12,21,PM
012022,12,22,PM
012023,12,23,PM
012024,12,24,PM
012025,12,25,PM
012026,12,26,PM
012027,12,27,PM
012028,12,28,PM
012029,12,29,PM
012030,12,30,PM
012031,12,31,PM
012032,12,32,PM
012033,12,33,PM
012034,12,34,PM
012035,12,35,PM
012036,12,36,PM
012037,12,37,PM
012038,12,38,PM
012039,12,39,PM
012040,12,40,PM
012041,12,41,PM
012042,12,42,PM
012043,12,43,PM
012044,12,44,PM
012045,12,45,PM
012046,12,46,PM
012047,12,47,PM
012048,12,48,PM
012049,12,49,PM
012050,12,50,PM
012051,12,51,PM
012052,12,52,PM
012053,12,53,PM
012054,12,54,PM
012055,12,55,PM
012056,12,56,PM
012057,12,57,PM
012058,12,58,PM
012059,12,59,PM
01300,1,0,PM
01301,1,1,PM
01302,1,2,PM
01303,1,3,PM
01304,1,4,PM
01305,1,5,PM
01306,1,6,PM
01307,1,7,PM
01308,1,8,PM
01309,1,9,PM
013010,1,10,PM
013011,1,11,PM
013012,1,12,PM
013013,1,13,PM
013014,1,14,PM
013015,1,15,PM
013016,1,16,PM
013017,1,17,PM
013018,1,18,PM
013019,1,19,PM
013020,1,20,PM
013021,1,21,PM
013022,1,22,PM
013023,1,23,PM
013024,1,24,PM
013025,1,25,PM
013026,1,26,PM
013027,1,27,PM
013028,1,28,PM
013029,1,29,PM
013030,1,30,PM
013031,1,31,PM
013032,1,32,PM
013033,1,33,PM
013034,1,34,PM
013035,1,35,PM
013036,1,36,PM
013037,1,37,PM
013038,1,38,PM
013039,1,39,PM
013040,1,40,PM
013041,1,41,PM
013042,1,42,PM
013043,1,43,PM
013044,1,44,PM
013045,1,45,PM
013046,1,46,PM
013047,1,47,PM
013048,1,48,PM
013049,1,49,PM
013050,1,50,PM
013051,1,51,PM
013052,1,52,PM
013053,1,53,PM
013054,1,54,PM
013055,1,55,PM
013056,1,56,PM
013057,1,57,PM
013058,1,58,PM
013059,1,59,PM
01400,2,0,PM
01401,2,1,PM
01402,2,2,PM
01403,2,3,PM
01404,2,4,PM
01405,2,5,PM
01406,2,6,PM
01407,2,7,PM
01408,2,8,PM
01409,2,9,PM
014010,2,10,PM
014011,2,11,PM
014012,2,12,PM
014013,2,13,PM
014014,2,14,PM
014015,2,15,PM
014016,2,16,PM
014017,2,17,PM
014018,2,18,PM
014019,2,19,PM
014020,2,20,PM
014021,2,21,PM
014022,2,22,PM
014023,2,23,PM
014024,2,24,PM
014025,2,25,PM
014026,2,26,PM
014027,2,27,PM
014028,2,28,PM
014029,2,29,PM
014030,2,30,PM
014031,2,31,PM
014032,2,32,PM
014033,2,33,PM
014034,2,34,PM
014035,2,35,PM
014036,2,36,PM
014037,2,37,PM
014038,2,38,PM
014039,2,39,PM
014040,2,40,PM
014041,2,41,PM
014042,2,42,PM
014043,2,43,PM
014044,2,44,PM
014045,2,45,PM
014046,2,46,PM
014047,2,47,PM
014048,2,48,PM
014049,2,49,PM
014050,2,50,PM
014051,2,51,PM
014052,2,52,PM
014053,2,53,PM
014054,2,54,PM
014055,2,55,PM
014056,2,56,PM
014057,2,57,PM
014058,2,58,PM
014059,2,59,PM
01500,3,0,PM
01501,3,1,PM
01502,3,2,PM
01503,3,3,PM
01504,3,4,PM
01505,3,5,PM
01506,3,6,PM
01507,3,7,PM
01508,3,8,PM
01509,3,9,PM
015010,3,10,PM
015011,3,11,PM
015012,3,12,PM
015013,3,13,PM
015014,3,14,PM
015015,3,15,PM
015016,3,16,PM
015017,3,17,PM
015018,3,18,PM
015019,3,19,PM
015020,3,20,PM
015021,3,21,PM
015022,3,22,PM
015023,3,23,PM
015024,3,24,PM
015025,3,25,PM
015026,3,26,PM
015027,3,27,PM
015028,3,28,PM
015029,3,29,PM
015030,3,30,PM
015031,3,31,PM
015032,3,32,PM
015033,3,33,PM
015034,3,34,PM
015035,3,35,PM
015036,3,36,PM
